datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd
2016-10-01 00:00:00+00:00,12.1,A,10396000,32.7,A
2016-10-02 00:00:00+00:00,9.2,A,10396000,33.1,A
2016-10-03 00:00:00+00:00,9.1,A,10396000,34.1,A
2016-10-04 00:00:00+00:00,8.9,A,10396000,34.1,A
2016-10-05 00:00:00+00:00,8.9,A,10396000,34.7,A
2016-10-06 00:00:00+00:00,9.7,A,10396000,35.8,A
2016-10-07 00:00:00+00:00,9.9,A,10396000,35.5,A
2016-10-08 00:00:00+00:00,10.5,A,10396000,35.0,A
2016-10-09 00:00:00+00:00,11.2,A,10396000,34.1,A
2016-10-10 00:00:00+00:00,11.2,A,10396000,33.9,A
2016-10-11 00:00:00+00:00,10.9,A,10396000,34.1,A
2016-10-12 00:00:00+00:00,9.9,A,10396000,34.1,A
2016-10-13 00:00:00+00:00,9.5,A,10396000,34.8,A
2016-10-14 00:00:00+00:00,9.2,A,10396000,36.0,A
2016-10-15 00:00:00+00:00,9.2,A,10396000,37.2,A
2016-10-16 00:00:00+00:00,8.2,A,10396000,36.0,A
2016-10-17 00:00:00+00:00,8.1,A,10396000,36.5,A
2016-10-18 00:00:00+00:00,7.8,A,10396000,39.2,A
2016-10-19 00:00:00+00:00,7.0,A,10396000,39.3,A
2016-10-20 00:00:00+00:00,7.5,A,10396000,37.2,A
2016-10-21 00:00:00+00:00,8.3,A,10396000,38.6,A
2016-10-22 00:00:00+00:00,8.9,A,10396000,38.5,A
2016-10-23 00:00:00+00:00,8.2,A,10396000,37.5,A
2016-10-24 00:00:00+00:00,9.0,A,10396000,36.2,A
2016-10-25 00:00:00+00:00,9.4,A,10396000,37.8,A
2016-10-26 00:00:00+00:00,10.2,A,10396000,39.2,A
2016-10-27 00:00:00+00:00,9.4,A,10396000,39.0,A
2016-10-28 00:00:00+00:00,9.0,A,10396000,39.1,A
2016-10-29 00:00:00+00:00,8.6,A,10396000,38.4,A
2016-10-30 00:00:00+00:00,8.1,A,10396000,37.8,A
2016-10-31 00:00:00+00:00,7.1,A,10396000,40.3,A
2016-11-01 00:00:00+00:00,7.1,A,10396000,38.9,A
2016-11-02 00:00:00+00:00,6.0,A,10396000,37.3,A
2016-11-03 00:00:00+00:00,5.5,A,10396000,36.6,A
2016-11-04 00:00:00+00:00,5.1,A,10396000,36.2,A
2016-11-05 00:00:00+00:00,5.8,A,10396000,36.2,A
2016-11-06 00:00:00+00:00,7.1,A,10396000,35.9,A
2016-11-07 00:00:00+00:00,7.3,A,10396000,36.2,A
2016-11-08 00:00:00+00:00,7.4,A,10396000,35.6,A
2016-11-09 00:00:00+00:00,7.5,A,10396000,35.1,A
2016-11-10 00:00:00+00:00,6.8,A,10396000,35.1,A
2016-11-11 00:00:00+00:00,7.0,A,10396000,35.1,A
2016-11-12 00:00:00+00:00,7.9,A,10396000,35.1,A
2016-11-13 00:00:00+00:00,7.0,A,10396000,34.2,A
2016-11-14 00:00:00+00:00,7.6,A,10396000,34.4,A
