datetime,00060_Mean,00060_Mean_cd,site_no
2017-10-01 00:00:00+00:00,66.9,A,10322500
2017-10-02 00:00:00+00:00,66.7,A,10322500
2017-10-03 00:00:00+00:00,66.1,A,10322500
2017-10-04 00:00:00+00:00,67.8,A,10322500
2017-10-05 00:00:00+00:00,68.3,A,10322500
2017-10-06 00:00:00+00:00,67.5,A,10322500
2017-10-07 00:00:00+00:00,70.1,A,10322500
2017-10-08 00:00:00+00:00,70.8,A,10322500
2017-10-09 00:00:00+00:00,71.7,A,10322500
2017-10-10 00:00:00+00:00,73.1,A,10322500
2017-10-11 00:00:00+00:00,75.2,A,10322500
2017-10-12 00:00:00+00:00,75.6,A,10322500
2017-10-13 00:00:00+00:00,75.1,A,10322500
2017-10-14 00:00:00+00:00,74.5,A,10322500
2017-10-15 00:00:00+00:00,74.8,A,10322500
2017-10-16 00:00:00+00:00,75.8,A,10322500
2017-10-17 00:00:00+00:00,76.3,A,10322500
2017-10-18 00:00:00+00:00,84.1,A,10322500
2017-10-19 00:00:00+00:00,90.5,A,10322500
2017-10-20 00:00:00+00:00,92.4,A,10322500
2017-10-21 00:00:00+00:00,93.1,A,10322500
2017-10-22 00:00:00+00:00,93.6,A,10322500
2017-10-23 00:00:00+00:00,94.2,A,10322500
2017-10-24 00:00:00+00:00,96.0,A,10322500
2017-10-25 00:00:00+00:00,97.0,A,10322500
2017-10-26 00:00:00+00:00,103.0,A,10322500
2017-10-27 00:00:00+00:00,106.0,A,10322500
2017-10-28 00:00:00+00:00,106.0,A,10322500
2017-10-29 00:00:00+00:00,107.0,A,10322500
2017-10-30 00:00:00+00:00,111.0,A,10322500
2017-10-31 00:00:00+00:00,105.0,A,10322500
2017-11-01 00:00:00+00:00,104.0,A,10322500
2017-11-02 00:00:00+00:00,104.0,A,10322500
2017-11-03 00:00:00+00:00,101.0,A,10322500
2017-11-04 00:00:00+00:00,103.0,A,10322500
2017-11-05 00:00:00+00:00,106.0,A,10322500
2017-11-06 00:00:00+00:00,108.0,A,10322500
2017-11-07 00:00:00+00:00,111.0,A,10322500
2017-11-08 00:00:00+00:00,112.0,A,10322500
2017-11-09 00:00:00+00:00,114.0,A,10322500
2017-11-10 00:00:00+00:00,112.0,A,10322500
2017-11-11 00:00:00+00:00,113.0,A,10322500
2017-11-12 00:00:00+00:00,113.0,A,10322500
2017-11-13 00:00:00+00:00,113.0,A,10322500
2017-11-14 00:00:00+00:00,113.0,A,10322500
2017-11-15 00:00:00+00:00,113.0,A,10322500
2017-11-16 00:00:00+00:00,119.0,A,10322500
2017-11-17 00:00:00+00:00,130.0,A,10322500
2017-11-18 00:00:00+00:00,135.0,A,10322500
