datetime,00060_Mean,00060_Mean_cd,site_no
2017-10-01 00:00:00+00:00,49.4,A,06126500
2017-10-02 00:00:00+00:00,43.1,A,06126500
2017-10-03 00:00:00+00:00,38.2,A,06126500
2017-10-04 00:00:00+00:00,36.9,A,06126500
2017-10-05 00:00:00+00:00,36.5,A,06126500
2017-10-06 00:00:00+00:00,36.1,A,06126500
2017-10-07 00:00:00+00:00,35.2,A,06126500
2017-10-08 00:00:00+00:00,34.2,A,06126500
2017-10-09 00:00:00+00:00,33.9,A,06126500
2017-10-10 00:00:00+00:00,33.1,A,06126500
2017-10-11 00:00:00+00:00,31.9,A,06126500
2017-10-12 00:00:00+00:00,31.6,A,06126500
2017-10-13 00:00:00+00:00,30.5,A,06126500
2017-10-14 00:00:00+00:00,29.6,A,06126500
2017-10-15 00:00:00+00:00,28.5,A,06126500
2017-10-16 00:00:00+00:00,27.9,A,06126500
2017-10-17 00:00:00+00:00,27.8,A,06126500
2017-10-18 00:00:00+00:00,27.7,A,06126500
2017-10-19 00:00:00+00:00,28.4,A,06126500
2017-10-20 00:00:00+00:00,28.2,A,06126500
2017-10-21 00:00:00+00:00,27.3,A,06126500
2017-10-22 00:00:00+00:00,27.7,A,06126500
2017-10-23 00:00:00+00:00,25.8,A,06126500
2017-10-24 00:00:00+00:00,26.2,A,06126500
2017-10-25 00:00:00+00:00,25.3,A,06126500
2017-10-26 00:00:00+00:00,24.9,A,06126500
2017-10-27 00:00:00+00:00,28.5,A,06126500
2017-10-28 00:00:00+00:00,26.9,A,06126500
2017-10-29 00:00:00+00:00,26.6,A,06126500
2017-10-30 00:00:00+00:00,28.2,A,06126500
2017-10-31 00:00:00+00:00,29.3,A,06126500
2017-11-01 00:00:00+00:00,28.8,A,06126500
2017-11-02 00:00:00+00:00,31.3,A,06126500
2017-11-03 00:00:00+00:00,36.7,A,06126500
2017-11-04 00:00:00+00:00,39.7,A,06126500
2017-11-05 00:00:00+00:00,39.1,A,06126500
2017-11-06 00:00:00+00:00,31.0,"A, e",06126500
2017-11-07 00:00:00+00:00,20.2,"A, e",06126500
2017-11-08 00:00:00+00:00,35.4,A,06126500
2017-11-09 00:00:00+00:00,38.9,A,06126500
2017-11-10 00:00:00+00:00,36.6,A,06126500
2017-11-11 00:00:00+00:00,40.4,"A, e",06126500
2017-11-12 00:00:00+00:00,33.3,"A, e",06126500
2017-11-13 00:00:00+00:00,39.6,"A, e",06126500
2017-11-14 00:00:00+00:00,40.9,"A, e",06126500
2017-11-15 00:00:00+00:00,35.5,"A, e",06126500
2017-11-16 00:00:00+00:00,54.6,"A, e",06126500
2017-11-17 00:00:00+00:00,84.5,"A, e",06126500
2017-11-18 00:00:00+00:00,83.5,"A, e",06126500
2017-11-19 00:00:00+00:00,84.0,"A, e",06126500
2017-11-20 00:00:00+00:00,87.1,"A, e",06126500
2017-11-21 00:00:00+00:00,96.5,"A, e",06126500
2017-11-22 00:00:00+00:00,104.0,A,06126500
2017-11-23 00:00:00+00:00,111.0,A,06126500
2017-11-24 00:00:00+00:00,109.0,A,06126500
2017-11-25 00:00:00+00:00,108.0,A,06126500
2017-11-26 00:00:00+00:00,73.6,A,06126500
2017-11-27 00:00:00+00:00,56.7,A,06126500
2017-11-28 00:00:00+00:00,48.6,A,06126500
2017-11-29 00:00:00+00:00,44.0,A,06126500
2017-11-30 00:00:00+00:00,36.9,A,06126500
2017-12-01 00:00:00+00:00,36.7,A,06126500
2017-12-02 00:00:00+00:00,34.2,A,06126500
2017-12-03 00:00:00+00:00,36.5,A,06126500
2017-12-04 00:00:00+00:00,39.9,"A, e",06126500
2017-12-05 00:00:00+00:00,34.0,"A, e",06126500
2017-12-06 00:00:00+00:00,23.3,"A, e",06126500
2017-12-07 00:00:00+00:00,35.5,"A, e",06126500
2017-12-08 00:00:00+00:00,33.3,"A, e",06126500
2017-12-09 00:00:00+00:00,31.0,"A, e",06126500
2017-12-10 00:00:00+00:00,26.7,"A, e",06126500
2017-12-11 00:00:00+00:00,33.4,"A, e",06126500
2017-12-12 00:00:00+00:00,27.1,"A, e",06126500
2017-12-13 00:00:00+00:00,34.1,"A, e",06126500
2017-12-14 00:00:00+00:00,27.9,"A, e",06126500
2017-12-15 00:00:00+00:00,29.4,"A, e",06126500
2017-12-16 00:00:00+00:00,39.8,"A, e",06126500
2017-12-17 00:00:00+00:00,23.4,"A, e",06126500
2017-12-18 00:00:00+00:00,36.5,"A, e",06126500
2017-12-19 00:00:00+00:00,34.5,"A, e",06126500
2017-12-20 00:00:00+00:00,34.3,"A, e",06126500
2017-12-21 00:00:00+00:00,18.3,"A, e",06126500
2017-12-22 00:00:00+00:00,23.2,"A, e",06126500
2017-12-23 00:00:00+00:00,25.0,"A, e",06126500
2017-12-24 00:00:00+00:00,23.5,"A, e",06126500
2017-12-25 00:00:00+00:00,22.6,"A, e",06126500
2017-12-26 00:00:00+00:00,19.1,"A, e",06126500
2017-12-27 00:00:00+00:00,18.3,"A, e",06126500
2017-12-28 00:00:00+00:00,18.0,"A, e",06126500
2017-12-29 00:00:00+00:00,22.0,"A, e",06126500
2017-12-30 00:00:00+00:00,27.9,"A, e",06126500
2017-12-31 00:00:00+00:00,22.9,"A, e",06126500
2018-01-01 00:00:00+00:00,22.9,"A, e",06126500
2018-01-02 00:00:00+00:00,23.3,"A, e",06126500
2018-01-03 00:00:00+00:00,24.7,"A, e",06126500
2018-01-04 00:00:00+00:00,25.7,"A, e",06126500
2018-01-05 00:00:00+00:00,27.2,"A, e",06126500
2018-01-06 00:00:00+00:00,30.7,"A, e",06126500
2018-01-07 00:00:00+00:00,31.5,"A, e",06126500
2018-01-08 00:00:00+00:00,33.8,"A, e",06126500
2018-01-09 00:00:00+00:00,34.3,"A, e",06126500
2018-01-10 00:00:00+00:00,33.7,"A, e",06126500
2018-01-11 00:00:00+00:00,32.7,"A, e",06126500
2018-01-12 00:00:00+00:00,33.1,"A, e",06126500
2018-01-13 00:00:00+00:00,33.0,"A, e",06126500
2018-01-14 00:00:00+00:00,33.2,"A, e",06126500
2018-01-15 00:00:00+00:00,31.0,"A, e",06126500
2018-01-16 00:00:00+00:00,31.0,"A, e",06126500
2018-01-17 00:00:00+00:00,31.1,"A, e",06126500
2018-01-18 00:00:00+00:00,31.3,"A, e",06126500
2018-01-19 00:00:00+00:00,31.5,"A, e",06126500
2018-01-20 00:00:00+00:00,31.8,"A, e",06126500
2018-01-21 00:00:00+00:00,31.5,"A, e",06126500
2018-01-22 00:00:00+00:00,31.8,"A, e",06126500
2018-01-23 00:00:00+00:00,31.9,"A, e",06126500
2018-01-24 00:00:00+00:00,32.2,"A, e",06126500
2018-01-25 00:00:00+00:00,32.1,"A, e",06126500
2018-01-26 00:00:00+00:00,31.9,"A, e",06126500
2018-01-27 00:00:00+00:00,32.0,"A, e",06126500
2018-01-28 00:00:00+00:00,33.6,"A, e",06126500
2018-01-29 00:00:00+00:00,37.2,"A, e",06126500
2018-01-30 00:00:00+00:00,37.1,"A, e",06126500
2018-01-31 00:00:00+00:00,37.6,"A, e",06126500
2018-02-01 00:00:00+00:00,38.9,"A, e",06126500
2018-02-02 00:00:00+00:00,40.1,"A, e",06126500
2018-02-03 00:00:00+00:00,40.2,"A, e",06126500
2018-02-04 00:00:00+00:00,39.8,"A, e",06126500
2018-02-05 00:00:00+00:00,41.1,"A, e",06126500
2018-02-06 00:00:00+00:00,41.5,"A, e",06126500
2018-02-07 00:00:00+00:00,42.1,"A, e",06126500
2018-02-08 00:00:00+00:00,41.4,"A, e",06126500
2018-02-09 00:00:00+00:00,38.4,"A, e",06126500
2018-02-10 00:00:00+00:00,35.4,"A, e",06126500
2018-02-11 00:00:00+00:00,34.6,"A, e",06126500
2018-02-12 00:00:00+00:00,34.5,"A, e",06126500
2018-02-13 00:00:00+00:00,35.1,"A, e",06126500
2018-02-14 00:00:00+00:00,34.8,"A, e",06126500
2018-02-15 00:00:00+00:00,33.4,"A, e",06126500
2018-02-16 00:00:00+00:00,31.1,"A, e",06126500
2018-02-17 00:00:00+00:00,31.8,"A, e",06126500
2018-02-18 00:00:00+00:00,32.1,"A, e",06126500
2018-02-19 00:00:00+00:00,30.3,"A, e",06126500
2018-02-20 00:00:00+00:00,27.3,"A, e",06126500
2018-02-21 00:00:00+00:00,24.3,"A, e",06126500
2018-02-22 00:00:00+00:00,23.5,"A, e",06126500
2018-02-23 00:00:00+00:00,23.9,"A, e",06126500
2018-02-24 00:00:00+00:00,24.5,"A, e",06126500
2018-02-25 00:00:00+00:00,26.0,"A, e",06126500
2018-02-26 00:00:00+00:00,26.8,"A, e",06126500
2018-02-27 00:00:00+00:00,27.3,"A, e",06126500
2018-02-28 00:00:00+00:00,27.3,"A, e",06126500
2018-03-01 00:00:00+00:00,27.3,"A, e",06126500
2018-03-02 00:00:00+00:00,27.4,"A, e",06126500
2018-03-03 00:00:00+00:00,27.8,"A, e",06126500
2018-03-04 00:00:00+00:00,28.3,"A, e",06126500
2018-03-05 00:00:00+00:00,27.9,"A, e",06126500
2018-03-06 00:00:00+00:00,25.6,"A, e",06126500
2018-03-07 00:00:00+00:00,25.2,"A, e",06126500
2018-03-08 00:00:00+00:00,28.6,"A, e",06126500
2018-03-09 00:00:00+00:00,34.0,"A, e",06126500
2018-03-10 00:00:00+00:00,35.5,"A, e",06126500
2018-03-11 00:00:00+00:00,34.3,"A, e",06126500
2018-03-12 00:00:00+00:00,33.7,"A, e",06126500
2018-03-13 00:00:00+00:00,33.8,"A, e",06126500
2018-03-14 00:00:00+00:00,35.7,"A, e",06126500
2018-03-15 00:00:00+00:00,55.4,"A, e",06126500
2018-03-16 00:00:00+00:00,762.0,"A, e",06126500
2018-03-17 00:00:00+00:00,2180.0,"A, e",06126500
2018-03-18 00:00:00+00:00,3010.0,A,06126500
2018-03-19 00:00:00+00:00,2400.0,A,06126500
2018-03-20 00:00:00+00:00,2160.0,A,06126500
2018-03-21 00:00:00+00:00,1870.0,A,06126500
2018-03-22 00:00:00+00:00,1600.0,A,06126500
2018-03-23 00:00:00+00:00,1390.0,A,06126500
2018-03-24 00:00:00+00:00,1770.0,A,06126500
2018-03-25 00:00:00+00:00,1440.0,A,06126500
2018-03-26 00:00:00+00:00,1050.0,A,06126500
2018-03-27 00:00:00+00:00,700.0,A,06126500
2018-03-28 00:00:00+00:00,639.0,A,06126500
2018-03-29 00:00:00+00:00,573.0,A,06126500
2018-03-30 00:00:00+00:00,522.0,A,06126500
2018-03-31 00:00:00+00:00,483.0,A,06126500
2018-04-01 00:00:00+00:00,447.0,A,06126500
2018-04-02 00:00:00+00:00,428.0,A,06126500
2018-04-03 00:00:00+00:00,398.0,A,06126500
2018-04-04 00:00:00+00:00,378.0,A,06126500
2018-04-05 00:00:00+00:00,400.0,A,06126500
2018-04-06 00:00:00+00:00,414.0,A,06126500
2018-04-07 00:00:00+00:00,389.0,A,06126500
2018-04-08 00:00:00+00:00,369.0,A,06126500
2018-04-09 00:00:00+00:00,423.0,A,06126500
2018-04-10 00:00:00+00:00,635.0,A,06126500
2018-04-11 00:00:00+00:00,730.0,A,06126500
2018-04-12 00:00:00+00:00,781.0,A,06126500
2018-04-13 00:00:00+00:00,976.0,A,06126500
2018-04-14 00:00:00+00:00,1420.0,A,06126500
2018-04-15 00:00:00+00:00,1110.0,A,06126500
2018-04-16 00:00:00+00:00,859.0,A,06126500
2018-04-17 00:00:00+00:00,796.0,A,06126500
2018-04-18 00:00:00+00:00,747.0,A,06126500
2018-04-19 00:00:00+00:00,706.0,A,06126500
2018-04-20 00:00:00+00:00,613.0,A,06126500
2018-04-21 00:00:00+00:00,551.0,A,06126500
2018-04-22 00:00:00+00:00,509.0,A,06126500
2018-04-23 00:00:00+00:00,515.0,A,06126500
2018-04-24 00:00:00+00:00,790.0,A,06126500
2018-04-25 00:00:00+00:00,1100.0,A,06126500
2018-04-26 00:00:00+00:00,1010.0,A,06126500
2018-04-27 00:00:00+00:00,702.0,A,06126500
2018-04-28 00:00:00+00:00,606.0,A,06126500
2018-04-29 00:00:00+00:00,651.0,A,06126500
2018-04-30 00:00:00+00:00,851.0,A,06126500
2018-05-01 00:00:00+00:00,1080.0,A,06126500
2018-05-02 00:00:00+00:00,1410.0,A,06126500
2018-05-03 00:00:00+00:00,1370.0,A,06126500
2018-05-04 00:00:00+00:00,1150.0,A,06126500
2018-05-05 00:00:00+00:00,1140.0,A,06126500
2018-05-06 00:00:00+00:00,1150.0,A,06126500
2018-05-07 00:00:00+00:00,1230.0,A,06126500
2018-05-08 00:00:00+00:00,1400.0,A,06126500
2018-05-09 00:00:00+00:00,1570.0,A,06126500
2018-05-10 00:00:00+00:00,1870.0,A,06126500
2018-05-11 00:00:00+00:00,2160.0,A,06126500
2018-05-12 00:00:00+00:00,2470.0,A,06126500
2018-05-13 00:00:00+00:00,3100.0,"A, e",06126500
2018-05-14 00:00:00+00:00,3880.0,"A, e",06126500
2018-05-15 00:00:00+00:00,3830.0,"A, e",06126500
2018-05-16 00:00:00+00:00,3470.0,"A, e",06126500
2018-05-17 00:00:00+00:00,3280.0,"A, e",06126500
2018-05-18 00:00:00+00:00,3140.0,"A, e",06126500
2018-05-19 00:00:00+00:00,3020.0,"A, e",06126500
2018-05-20 00:00:00+00:00,3320.0,"A, e",06126500
2018-05-21 00:00:00+00:00,3830.0,"A, e",06126500
2018-05-22 00:00:00+00:00,4070.0,A,06126500
2018-05-23 00:00:00+00:00,3550.0,A,06126500
2018-05-24 00:00:00+00:00,3850.0,A,06126500
2018-05-25 00:00:00+00:00,4220.0,A,06126500
2018-05-26 00:00:00+00:00,4620.0,A,06126500
2018-05-27 00:00:00+00:00,4370.0,A,06126500
2018-05-28 00:00:00+00:00,4370.0,A,06126500
2018-05-29 00:00:00+00:00,3960.0,A,06126500
2018-05-30 00:00:00+00:00,3450.0,A,06126500
2018-05-31 00:00:00+00:00,3430.0,A,06126500
2018-06-01 00:00:00+00:00,5790.0,A,06126500
2018-06-02 00:00:00+00:00,4450.0,A,06126500
2018-06-03 00:00:00+00:00,3470.0,A,06126500
2018-06-04 00:00:00+00:00,2790.0,A,06126500
2018-06-05 00:00:00+00:00,2340.0,A,06126500
2018-06-06 00:00:00+00:00,2120.0,A,06126500
2018-06-07 00:00:00+00:00,1960.0,A,06126500
2018-06-08 00:00:00+00:00,1880.0,A,06126500
2018-06-09 00:00:00+00:00,1850.0,A,06126500
2018-06-10 00:00:00+00:00,1690.0,A,06126500
2018-06-11 00:00:00+00:00,1530.0,A,06126500
2018-06-12 00:00:00+00:00,1400.0,A,06126500
2018-06-13 00:00:00+00:00,1280.0,A,06126500
2018-06-14 00:00:00+00:00,1150.0,A,06126500
2018-06-15 00:00:00+00:00,1000.0,A,06126500
2018-06-16 00:00:00+00:00,883.0,A,06126500
2018-06-17 00:00:00+00:00,923.0,A,06126500
2018-06-18 00:00:00+00:00,1370.0,A,06126500
2018-06-19 00:00:00+00:00,2010.0,A,06126500
2018-06-20 00:00:00+00:00,4080.0,A,06126500
2018-06-21 00:00:00+00:00,5350.0,A,06126500
2018-06-22 00:00:00+00:00,6000.0,A,06126500
2018-06-23 00:00:00+00:00,5570.0,A,06126500
2018-06-24 00:00:00+00:00,4470.0,A,06126500
2018-06-25 00:00:00+00:00,3610.0,A,06126500
2018-06-26 00:00:00+00:00,2940.0,A,06126500
2018-06-27 00:00:00+00:00,2570.0,A,06126500
2018-06-28 00:00:00+00:00,2300.0,A,06126500
2018-06-29 00:00:00+00:00,2170.0,A,06126500
2018-06-30 00:00:00+00:00,2270.0,A,06126500
2018-07-01 00:00:00+00:00,2280.0,A,06126500
2018-07-02 00:00:00+00:00,1990.0,A,06126500
2018-07-03 00:00:00+00:00,1850.0,A,06126500
2018-07-04 00:00:00+00:00,1770.0,A,06126500
2018-07-05 00:00:00+00:00,1640.0,A,06126500
2018-07-06 00:00:00+00:00,1520.0,A,06126500
2018-07-07 00:00:00+00:00,1390.0,A,06126500
2018-07-08 00:00:00+00:00,1260.0,A,06126500
2018-07-09 00:00:00+00:00,1150.0,A,06126500
