datetime,00060_Mean,00060_Mean_cd,site_no,00065_Mean,00065_Mean_cd
2018-10-01 00:00:00+00:00,1280.0,A,14220500,1.58,A
2018-10-02 00:00:00+00:00,1290.0,A,14220500,1.59,A
2018-10-03 00:00:00+00:00,1290.0,A,14220500,1.59,A
2018-10-04 00:00:00+00:00,1300.0,A,14220500,1.59,A
2018-10-05 00:00:00+00:00,1310.0,A,14220500,1.6,A
2018-10-06 00:00:00+00:00,1320.0,A,14220500,1.61,A
2018-10-07 00:00:00+00:00,1320.0,A,14220500,1.61,A
2018-10-08 00:00:00+00:00,1330.0,A,14220500,1.62,A
2018-10-09 00:00:00+00:00,1330.0,A,14220500,1.61,A
2018-10-10 00:00:00+00:00,1560.0,A,14220500,1.79,A
2018-10-11 00:00:00+00:00,1550.0,A,14220500,1.78,A
2018-10-12 00:00:00+00:00,1470.0,A,14220500,1.72,A
2018-10-13 00:00:00+00:00,1250.0,A,14220500,1.56,A
2018-10-14 00:00:00+00:00,1250.0,A,14220500,1.56,A
2018-10-15 00:00:00+00:00,1710.0,A,14220500,1.88,A
2018-10-16 00:00:00+00:00,2490.0,A,14220500,2.44,A
2018-10-17 00:00:00+00:00,2440.0,A,14220500,2.45,A
2018-10-18 00:00:00+00:00,2400.0,A,14220500,2.45,A
2018-10-19 00:00:00+00:00,2390.0,A,14220500,2.45,A
2018-10-20 00:00:00+00:00,2390.0,A,14220500,2.45,A
2018-10-21 00:00:00+00:00,2390.0,A,14220500,2.45,A
2018-10-22 00:00:00+00:00,2390.0,A,14220500,2.45,A
2018-10-23 00:00:00+00:00,2500.0,A,14220500,2.52,A
2018-10-24 00:00:00+00:00,2560.0,A,14220500,2.56,A
2018-10-25 00:00:00+00:00,2550.0,A,14220500,2.55,A
2018-10-26 00:00:00+00:00,2550.0,A,14220500,2.55,A
2018-10-27 00:00:00+00:00,2550.0,A,14220500,2.55,A
2018-10-28 00:00:00+00:00,2550.0,A,14220500,2.55,A
2018-10-29 00:00:00+00:00,2550.0,A,14220500,2.55,A
2018-10-30 00:00:00+00:00,2550.0,A,14220500,2.55,A
2018-10-31 00:00:00+00:00,2950.0,A,14220500,2.78,A
2018-11-01 00:00:00+00:00,4270.0,A,14220500,3.56,A
2018-11-02 00:00:00+00:00,4270.0,A,14220500,3.56,A
2018-11-03 00:00:00+00:00,4270.0,A,14220500,3.56,A
2018-11-04 00:00:00+00:00,4270.0,A,14220500,3.57,A
2018-11-05 00:00:00+00:00,4270.0,A,14220500,3.57,A
2018-11-06 00:00:00+00:00,4270.0,A,14220500,3.57,A
2018-11-07 00:00:00+00:00,4260.0,A,14220500,3.56,A
2018-11-08 00:00:00+00:00,4270.0,A,14220500,3.56,A
2018-11-09 00:00:00+00:00,4290.0,A,14220500,3.57,A
2018-11-10 00:00:00+00:00,4290.0,A,14220500,3.58,A
2018-11-11 00:00:00+00:00,4260.0,A,14220500,3.56,A
2018-11-12 00:00:00+00:00,4250.0,A,14220500,3.55,A
2018-11-13 00:00:00+00:00,4150.0,A,14220500,3.49,A
2018-11-14 00:00:00+00:00,2670.0,A,14220500,2.58,A
2018-11-15 00:00:00+00:00,4250.0,A,14220500,3.55,A
2018-11-16 00:00:00+00:00,4260.0,A,14220500,3.56,A
2018-11-17 00:00:00+00:00,4260.0,A,14220500,3.56,A
2018-11-18 00:00:00+00:00,4250.0,A,14220500,3.55,A
2018-11-19 00:00:00+00:00,4260.0,A,14220500,3.56,A
2018-11-20 00:00:00+00:00,4170.0,A,14220500,3.51,A
2018-11-21 00:00:00+00:00,2660.0,A,14220500,2.58,A
2018-11-22 00:00:00+00:00,4280.0,A,14220500,3.57,A
2018-11-23 00:00:00+00:00,4280.0,A,14220500,3.57,A
2018-11-24 00:00:00+00:00,4280.0,A,14220500,3.57,A
2018-11-25 00:00:00+00:00,4280.0,A,14220500,3.57,A
2018-11-26 00:00:00+00:00,4280.0,A,14220500,3.57,A
2018-11-27 00:00:00+00:00,4270.0,A,14220500,3.56,A
2018-11-28 00:00:00+00:00,3250.0,A,14220500,2.95,A
2018-11-29 00:00:00+00:00,4290.0,A,14220500,3.57,A
2018-11-30 00:00:00+00:00,4300.0,A,14220500,3.58,A
2018-12-01 00:00:00+00:00,4290.0,A,14220500,3.58,A
2018-12-02 00:00:00+00:00,4290.0,A,14220500,3.57,A
2018-12-03 00:00:00+00:00,4260.0,A,14220500,3.56,A
2018-12-04 00:00:00+00:00,4260.0,A,14220500,3.56,A
2018-12-05 00:00:00+00:00,4250.0,A,14220500,3.55,A
2018-12-06 00:00:00+00:00,4250.0,A,14220500,3.56,A
2018-12-07 00:00:00+00:00,4250.0,A,14220500,3.55,A
2018-12-08 00:00:00+00:00,4250.0,A,14220500,3.55,A
2018-12-09 00:00:00+00:00,4250.0,A,14220500,3.55,A
2018-12-10 00:00:00+00:00,4260.0,A,14220500,3.56,A
2018-12-11 00:00:00+00:00,4290.0,A,14220500,3.58,A
2018-12-12 00:00:00+00:00,4290.0,A,14220500,3.58,A
2018-12-13 00:00:00+00:00,4280.0,A,14220500,3.57,A
2018-12-14 00:00:00+00:00,4280.0,A,14220500,3.57,A
2018-12-15 00:00:00+00:00,4270.0,A,14220500,3.56,A
2018-12-16 00:00:00+00:00,2510.0,A,14220500,2.51,A
2018-12-17 00:00:00+00:00,2040.0,A,14220500,2.22,A
2018-12-18 00:00:00+00:00,6490.0,A,14220500,4.47,A
2018-12-19 00:00:00+00:00,11900.0,A,14220500,7.11,A
2018-12-20 00:00:00+00:00,11800.0,A,14220500,7.11,A
2018-12-21 00:00:00+00:00,10800.0,A,14220500,6.64,A
2018-12-22 00:00:00+00:00,9090.0,A,14220500,5.91,A
2018-12-23 00:00:00+00:00,8000.0,A,14220500,5.42,A
2018-12-24 00:00:00+00:00,6940.0,A,14220500,4.92,A
2018-12-25 00:00:00+00:00,5510.0,A,14220500,4.22,A
2018-12-26 00:00:00+00:00,5510.0,A,14220500,4.22,A
2018-12-27 00:00:00+00:00,5500.0,A,14220500,4.22,A
2018-12-28 00:00:00+00:00,5510.0,A,14220500,4.22,A
2018-12-29 00:00:00+00:00,5540.0,A,14220500,4.24,A
2018-12-30 00:00:00+00:00,8280.0,A,14220500,5.49,A
2018-12-31 00:00:00+00:00,12000.0,A,14220500,7.17,A
2019-01-01 00:00:00+00:00,10500.0,A,14220500,6.52,A
2019-01-02 00:00:00+00:00,5670.0,A,14220500,4.3,A
2019-01-03 00:00:00+00:00,5530.0,A,14220500,4.23,A
2019-01-04 00:00:00+00:00,7810.0,A,14220500,5.31,A
2019-01-05 00:00:00+00:00,9060.0,A,14220500,5.9,A
2019-01-06 00:00:00+00:00,9050.0,A,14220500,5.89,A
2019-01-07 00:00:00+00:00,7540.0,A,14220500,5.19,A
2019-01-08 00:00:00+00:00,5540.0,A,14220500,4.24,A
2019-01-09 00:00:00+00:00,5560.0,A,14220500,4.25,A
2019-01-10 00:00:00+00:00,5560.0,A,14220500,4.25,A
2019-01-11 00:00:00+00:00,5560.0,A,14220500,4.25,A
2019-01-12 00:00:00+00:00,4750.0,A,14220500,3.82,A
2019-01-13 00:00:00+00:00,4060.0,A,14220500,3.45,A
2019-01-14 00:00:00+00:00,4050.0,A,14220500,3.44,A
2019-01-15 00:00:00+00:00,6670.0,A,14220500,4.73,A
2019-01-16 00:00:00+00:00,9020.0,A,14220500,5.88,A
2019-01-17 00:00:00+00:00,9020.0,A,14220500,5.88,A
2019-01-18 00:00:00+00:00,9020.0,A,14220500,5.88,A
2019-01-19 00:00:00+00:00,9030.0,A,14220500,5.89,A
2019-01-20 00:00:00+00:00,8870.0,A,14220500,5.82,A
2019-01-21 00:00:00+00:00,4900.0,A,14220500,3.88,A
2019-01-22 00:00:00+00:00,3860.0,A,14220500,3.33,A
2019-01-23 00:00:00+00:00,3870.0,A,14220500,3.34,A
2019-01-24 00:00:00+00:00,4920.0,A,14220500,3.86,A
2019-01-25 00:00:00+00:00,9090.0,A,14220500,5.91,A
2019-01-26 00:00:00+00:00,9090.0,A,14220500,5.91,A
2019-01-27 00:00:00+00:00,7710.0,A,14220500,5.27,A
2019-01-28 00:00:00+00:00,2780.0,A,14220500,2.67,A
2019-01-29 00:00:00+00:00,2050.0,A,14220500,2.22,A
2019-01-30 00:00:00+00:00,2060.0,A,14220500,2.23,A
2019-01-31 00:00:00+00:00,2060.0,A,14220500,2.23,A
2019-02-01 00:00:00+00:00,2060.0,A,14220500,2.23,A
2019-02-02 00:00:00+00:00,2550.0,A,14220500,2.53,A
2019-02-03 00:00:00+00:00,4570.0,A,14220500,3.73,A
2019-02-04 00:00:00+00:00,4570.0,A,14220500,3.73,A
2019-02-05 00:00:00+00:00,4570.0,A,14220500,3.73,A
2019-02-06 00:00:00+00:00,4570.0,A,14220500,3.73,A
2019-02-07 00:00:00+00:00,4560.0,A,14220500,3.72,A
