datetime,00060_Mean,00060_Mean_cd,site_no
2018-10-01 00:00:00+00:00,86.1,A,06012500
2018-10-02 00:00:00+00:00,32.3,A,06012500
2018-10-03 00:00:00+00:00,32.2,A,06012500
2018-10-04 00:00:00+00:00,32.0,A,06012500
2018-10-05 00:00:00+00:00,32.2,A,06012500
2018-10-06 00:00:00+00:00,32.3,A,06012500
2018-10-07 00:00:00+00:00,32.6,A,06012500
2018-10-08 00:00:00+00:00,32.7,A,06012500
2018-10-09 00:00:00+00:00,32.4,A,06012500
2018-10-10 00:00:00+00:00,32.8,A,06012500
2018-10-11 00:00:00+00:00,32.7,A,06012500
2018-10-12 00:00:00+00:00,33.0,A,06012500
2018-10-13 00:00:00+00:00,33.1,A,06012500
2018-10-14 00:00:00+00:00,33.0,A,06012500
2018-10-15 00:00:00+00:00,32.9,A,06012500
2018-10-16 00:00:00+00:00,27.5,A,06012500
2018-10-17 00:00:00+00:00,24.2,A,06012500
2018-10-18 00:00:00+00:00,24.0,A,06012500
2018-10-19 00:00:00+00:00,24.1,A,06012500
2018-10-20 00:00:00+00:00,24.2,A,06012500
2018-10-21 00:00:00+00:00,24.7,A,06012500
2018-10-22 00:00:00+00:00,24.7,A,06012500
2018-10-23 00:00:00+00:00,24.6,A,06012500
2018-10-24 00:00:00+00:00,24.6,A,06012500
2018-10-25 00:00:00+00:00,24.6,A,06012500
2018-10-26 00:00:00+00:00,24.6,A,06012500
2018-10-27 00:00:00+00:00,24.5,A,06012500
2018-10-28 00:00:00+00:00,24.9,A,06012500
2018-10-29 00:00:00+00:00,25.0,A,06012500
2018-10-30 00:00:00+00:00,25.5,A,06012500
2018-10-31 00:00:00+00:00,25.6,A,06012500
2018-11-01 00:00:00+00:00,25.4,A,06012500
2018-11-02 00:00:00+00:00,25.5,A,06012500
2018-11-03 00:00:00+00:00,25.5,A,06012500
2018-11-04 00:00:00+00:00,25.3,A,06012500
2018-11-05 00:00:00+00:00,25.4,A,06012500
2018-11-06 00:00:00+00:00,25.7,A,06012500
2019-04-01 00:00:00+00:00,4.39,A,06012500
2019-04-02 00:00:00+00:00,4.28,A,06012500
2019-04-03 00:00:00+00:00,4.6,A,06012500
2019-04-04 00:00:00+00:00,4.97,A,06012500
2019-04-05 00:00:00+00:00,5.05,A,06012500
2019-04-06 00:00:00+00:00,5.06,A,06012500
2019-04-07 00:00:00+00:00,16.2,A,06012500
2019-04-08 00:00:00+00:00,23.6,A,06012500
2019-04-09 00:00:00+00:00,23.7,A,06012500
2019-04-10 00:00:00+00:00,23.6,A,06012500
2019-04-11 00:00:00+00:00,81.7,A,06012500
2019-04-12 00:00:00+00:00,120.0,A,06012500
2019-04-13 00:00:00+00:00,121.0,A,06012500
2019-04-14 00:00:00+00:00,121.0,A,06012500
2019-04-15 00:00:00+00:00,149.0,A,06012500
2019-04-16 00:00:00+00:00,205.0,A,06012500
2019-04-17 00:00:00+00:00,206.0,A,06012500
2019-04-18 00:00:00+00:00,206.0,A,06012500
2019-04-19 00:00:00+00:00,290.0,A,06012500
2019-04-20 00:00:00+00:00,337.0,A,06012500
2019-04-21 00:00:00+00:00,338.0,A,06012500
2019-04-22 00:00:00+00:00,340.0,A,06012500
2019-04-23 00:00:00+00:00,340.0,A,06012500
2019-04-24 00:00:00+00:00,324.0,A,06012500
2019-04-25 00:00:00+00:00,312.0,A,06012500
2019-04-26 00:00:00+00:00,313.0,A,06012500
