datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd,00065_Mean,00065_Mean_cd
2021-10-01 00:00:00+00:00,8.5,A,12147600,76.3,A,1.73,A
2021-10-02 00:00:00+00:00,8.6,A,12147600,32.0,A,1.31,A
2021-10-03 00:00:00+00:00,8.9,A,12147600,20.6,A,1.14,A
2021-10-04 00:00:00+00:00,8.6,A,12147600,15.5,A,1.04,A
2021-10-05 00:00:00+00:00,8.4,A,12147600,17.0,A,1.07,A
2021-10-06 00:00:00+00:00,8.1,A,12147600,35.1,A,1.35,A
2021-10-07 00:00:00+00:00,7.6,A,12147600,36.6,A,1.37,A
2021-10-08 00:00:00+00:00,7.1,A,12147600,21.5,A,1.16,A
2021-10-09 00:00:00+00:00,7.1,A,12147600,16.1,A,1.06,A
2021-10-10 00:00:00+00:00,7.2,A,12147600,66.9,A,1.66,A
2021-10-11 00:00:00+00:00,6.7,A,12147600,43.2,A,1.45,A
2021-10-12 00:00:00+00:00,6.3,A,12147600,28.3,A,1.27,A
2021-10-13 00:00:00+00:00,6.4,A,12147600,37.7,A,1.39,A
2021-10-14 00:00:00+00:00,6.5,A,12147600,61.0,A,1.6,A
2021-10-15 00:00:00+00:00,6.9,A,12147600,115.0,A,2.01,A
2021-10-16 00:00:00+00:00,7.3,A,12147600,59.3,A,1.61,A
2021-10-17 00:00:00+00:00,7.4,A,12147600,35.9,A,1.36,A
2021-10-18 00:00:00+00:00,7.3,A,12147600,25.5,A,1.22,A
2021-10-19 00:00:00+00:00,7.2,A,12147600,19.8,A,1.13,A
2021-10-20 00:00:00+00:00,7.4,A,12147600,24.3,A,1.2,A
2021-10-21 00:00:00+00:00,7.4,A,12147600,23.1,A,1.19,A
2021-10-22 00:00:00+00:00,7.5,A,12147600,55.3,A,1.55,A
2021-10-23 00:00:00+00:00,7.1,A,12147600,55.4,A,1.57,A
2021-10-24 00:00:00+00:00,7.0,A,12147600,38.3,A,1.39,A
2021-10-25 00:00:00+00:00,6.9,A,12147600,50.2,A,1.49,A
2021-10-26 00:00:00+00:00,6.8,A,12147600,213.0,A,2.39,A
2021-10-27 00:00:00+00:00,6.6,A,12147600,163.0,A,2.18,A
2021-10-28 00:00:00+00:00,7.5,A,12147600,592.0,A,3.18,A
2021-10-29 00:00:00+00:00,6.8,A,12147600,330.0,A,2.72,A
2021-10-30 00:00:00+00:00,5.8,A,12147600,83.4,A,1.8,A
2021-10-31 00:00:00+00:00,5.4,A,12147600,41.7,A,1.45,A
2021-11-01 00:00:00+00:00,5.6,A,12147600,30.7,A,1.32,A
2021-11-02 00:00:00+00:00,6.0,A,12147600,30.1,A,1.31,A
2021-11-03 00:00:00+00:00,6.5,A,12147600,26.8,A,1.26,A
2021-11-04 00:00:00+00:00,6.8,A,12147600,125.0,A,1.84,A
2021-11-05 00:00:00+00:00,6.1,A,12147600,115.0,A,1.98,A
2021-11-06 00:00:00+00:00,5.4,A,12147600,58.1,A,1.61,A
2021-11-07 00:00:00+00:00,4.9,A,12147600,49.3,A,1.53,A
2021-11-08 00:00:00+00:00,5.0,A,12147600,38.6,A,1.42,A
2021-11-09 00:00:00+00:00,4.9,A,12147600,46.8,A,1.5,A
2021-11-10 00:00:00+00:00,5.1,A,12147600,47.2,A,1.51,A
2021-11-11 00:00:00+00:00,5.0,A,12147600,161.0,A,2.02,A
2021-11-12 00:00:00+00:00,5.7,A,12147600,690.0,A,3.54,A
2021-11-13 00:00:00+00:00,5.5,A,12147600,175.0,A,2.25,A
2021-11-14 00:00:00+00:00,7.1,A,12147600,719.0,A,3.62,A
2021-11-15 00:00:00+00:00,6.4,A,12147600,350.0,A,2.8,A
2021-11-16 00:00:00+00:00,4.9,A,12147600,120.0,A,2.02,A
2021-11-17 00:00:00+00:00,4.2,A,12147600,59.3,A,1.62,A
2021-11-18 00:00:00+00:00,4.0,A,12147600,40.3,A,1.44,A
2021-11-19 00:00:00+00:00,4.3,A,12147600,39.1,A,1.42,A
2021-11-20 00:00:00+00:00,4.4,A,12147600,30.0,A,1.31,A
2021-11-21 00:00:00+00:00,4.3,A,12147600,25.2,A,1.24,A
2021-11-22 00:00:00+00:00,4.5,A,12147600,22.8,A,1.2,A
2021-11-23 00:00:00+00:00,3.8,A,12147600,30.7,A,1.32,A
2021-11-24 00:00:00+00:00,4.0,A,12147600,25.7,A,1.25,A
2021-11-25 00:00:00+00:00,4.2,A,12147600,74.0,A,1.6,A
2021-11-26 00:00:00+00:00,4.7,A,12147600,448.0,A,3.05,A
2021-11-27 00:00:00+00:00,5.2,A,12147600,253.0,A,2.46,A
2021-11-28 00:00:00+00:00,6.1,A,12147600,429.0,A,3.0,A
2021-11-29 00:00:00+00:00,6.1,A,12147600,211.0,A,2.39,A
2021-11-30 00:00:00+00:00,6.2,A,12147600,205.0,A,2.36,A
2021-12-01 00:00:00+00:00,6.5,A,12147600,133.0,A,2.09,A
2021-12-02 00:00:00+00:00,5.8,A,12147600,111.0,A,1.98,A
2021-12-03 00:00:00+00:00,4.8,A,12147600,62.8,A,1.65,A
2021-12-04 00:00:00+00:00,3.7,A,12147600,42.9,A,1.47,A
2021-12-05 00:00:00+00:00,3.6,A,12147600,30.9,A,1.32,A
2021-12-06 00:00:00+00:00,3.5,A,12147600,29.7,A,1.3,A
2021-12-07 00:00:00+00:00,3.9,A,12147600,62.3,A,1.64,A
2021-12-08 00:00:00+00:00,3.9,A,12147600,175.0,A,2.26,A
2021-12-09 00:00:00+00:00,3.2,A,12147600,63.0,A,1.65,A
2021-12-10 00:00:00+00:00,3.0,A,12147600,40.1,A,1.44,A
2021-12-11 00:00:00+00:00,3.4,A,12147600,120.0,A,1.99,A
2021-12-12 00:00:00+00:00,3.3,A,12147600,60.5,A,1.63,A
2021-12-13 00:00:00+00:00,3.2,A,12147600,36.2,A,1.39,A
2021-12-14 00:00:00+00:00,2.7,A,12147600,26.9,A,1.27,A
2021-12-15 00:00:00+00:00,2.7,A,12147600,22.2,A,1.19,A
2021-12-16 00:00:00+00:00,2.1,A,12147600,19.7,A,1.14,A
2021-12-17 00:00:00+00:00,2.4,A,12147600,17.5,A,1.09,A
2021-12-18 00:00:00+00:00,1.6,A,12147600,103.0,A,1.71,A
2021-12-19 00:00:00+00:00,2.6,A,12147600,84.3,A,1.8,A
2021-12-20 00:00:00+00:00,2.5,A,12147600,38.4,A,1.41,A
2021-12-21 00:00:00+00:00,2.9,A,12147600,30.5,A,1.31,A
2021-12-22 00:00:00+00:00,3.2,A,12147600,157.0,A,2.2,A
2021-12-23 00:00:00+00:00,2.9,A,12147600,101.0,A,1.92,A
2021-12-24 00:00:00+00:00,2.4,A,12147600,48.6,A,1.52,A
2021-12-25 00:00:00+00:00,1.3,A,12147600,33.2,A,1.35,A
2021-12-26 00:00:00+00:00,1.1,A,12147600,25.6,A,1.25,A
2021-12-27 00:00:00+00:00,0.6,A,12147600,20.4,A,1.15,A
2021-12-28 00:00:00+00:00,1.2,A,12147600,18.4,A,1.11,A
2021-12-29 00:00:00+00:00,1.1,A,12147600,16.5,A,1.07,A
2021-12-30 00:00:00+00:00,0.5,A,12147600,15.9,A,1.06,A
2021-12-31 00:00:00+00:00,0.9,A,12147600,14.5,A,1.02,A
2022-01-01 00:00:00+00:00,0.8,A,12147600,13.3,A,0.99,A
2022-01-02 00:00:00+00:00,0.9,A,12147600,13.1,A,0.98,A
2022-01-03 00:00:00+00:00,0.3,A,12147600,13.5,A,1.0,A
2022-01-04 00:00:00+00:00,0.9,A,12147600,12.5,A,0.97,A
2022-01-05 00:00:00+00:00,1.3,A,12147600,11.9,A,0.95,A
2022-01-06 00:00:00+00:00,0.1,A,12147600,186.0,A,1.81,A
2022-01-07 00:00:00+00:00,1.6,A,12147600,503.0,A,3.17,A
2022-01-08 00:00:00+00:00,2.2,A,12147600,114.0,A,1.97,A
2022-01-09 00:00:00+00:00,2.4,A,12147600,51.2,A,1.55,A
2022-01-10 00:00:00+00:00,2.7,A,12147600,38.3,A,1.42,A
2022-01-11 00:00:00+00:00,2.8,A,12147600,289.0,A,2.51,A
2022-01-12 00:00:00+00:00,2.7,A,12147600,712.0,A,3.58,A
2022-01-13 00:00:00+00:00,3.2,A,12147600,182.0,A,2.3,A
2022-01-14 00:00:00+00:00,3.2,A,12147600,90.3,A,1.85,A
2022-01-15 00:00:00+00:00,3.1,A,12147600,62.5,A,1.65,A
2022-01-16 00:00:00+00:00,3.0,A,12147600,49.2,A,1.53,A
2022-01-17 00:00:00+00:00,3.3,A,12147600,45.1,A,1.49,A
2022-01-18 00:00:00+00:00,3.3,A,12147600,111.0,A,1.97,A
2022-01-19 00:00:00+00:00,3.3,A,12147600,77.0,A,1.76,A
2022-01-20 00:00:00+00:00,3.2,A,12147600,501.0,A,3.08,A
2022-01-21 00:00:00+00:00,3.1,A,12147600,189.0,A,2.3,A
2022-01-22 00:00:00+00:00,3.0,A,12147600,73.2,A,1.73,A
2022-01-23 00:00:00+00:00,2.9,A,12147600,49.7,A,1.54,A
2022-01-24 00:00:00+00:00,3.1,A,12147600,42.3,A,1.46,A
2022-01-25 00:00:00+00:00,2.9,A,12147600,37.0,A,1.4,A
2022-01-26 00:00:00+00:00,2.8,A,12147600,31.3,A,1.33,A
2022-01-27 00:00:00+00:00,2.9,A,12147600,27.8,A,1.28,A
2022-01-28 00:00:00+00:00,2.8,A,12147600,25.6,A,1.25,A
2022-01-29 00:00:00+00:00,2.9,A,12147600,23.5,A,1.21,A
2022-01-30 00:00:00+00:00,3.2,A,12147600,33.7,A,1.32,A
2022-01-31 00:00:00+00:00,2.1,A,12147600,50.9,A,1.54,A
2022-02-01 00:00:00+00:00,2.0,A,12147600,31.7,A,1.33,A
2022-02-02 00:00:00+00:00,1.9,A,12147600,24.7,A,1.23,A
2022-02-03 00:00:00+00:00,2.1,A,12147600,23.2,A,1.21,A
2022-02-04 00:00:00+00:00,2.4,A,12147600,27.1,A,1.25,A
2022-02-05 00:00:00+00:00,2.6,A,12147600,69.3,A,1.7,A
2022-02-06 00:00:00+00:00,2.7,A,12147600,41.2,A,1.45,A
2022-02-07 00:00:00+00:00,3.0,A,12147600,49.3,A,1.53,A
2022-02-08 00:00:00+00:00,3.1,A,12147600,47.0,A,1.51,A
2022-02-09 00:00:00+00:00,3.2,A,12147600,35.1,A,1.38,A
2022-02-10 00:00:00+00:00,3.2,A,12147600,40.3,A,1.44,A
2022-02-11 00:00:00+00:00,3.0,A,12147600,36.9,A,1.4,A
2022-02-12 00:00:00+00:00,3.1,A,12147600,31.5,A,1.33,A
2022-02-13 00:00:00+00:00,3.1,A,12147600,29.3,A,1.3,A
2022-02-14 00:00:00+00:00,3.1,A,12147600,33.2,A,1.35,A
