datetime,00060_Mean,00060_Mean_cd,site_no
2022-10-01 00:00:00+00:00,125.0,A,06625000
2022-10-02 00:00:00+00:00,106.0,A,06625000
2022-10-03 00:00:00+00:00,111.0,A,06625000
2022-10-04 00:00:00+00:00,114.0,A,06625000
2022-10-05 00:00:00+00:00,106.0,A,06625000
2022-10-06 00:00:00+00:00,97.2,A,06625000
2022-10-07 00:00:00+00:00,92.9,A,06625000
2022-10-08 00:00:00+00:00,92.4,A,06625000
2022-10-09 00:00:00+00:00,90.4,A,06625000
2022-10-10 00:00:00+00:00,88.4,A,06625000
2022-10-11 00:00:00+00:00,86.6,A,06625000
2022-10-12 00:00:00+00:00,85.6,A,06625000
2022-10-13 00:00:00+00:00,88.3,A,06625000
2022-10-14 00:00:00+00:00,84.9,A,06625000
2022-10-15 00:00:00+00:00,84.1,A,06625000
2022-10-16 00:00:00+00:00,85.1,A,06625000
2022-10-17 00:00:00+00:00,84.4,A,06625000
2022-10-18 00:00:00+00:00,85.1,A,06625000
2022-10-19 00:00:00+00:00,83.7,A,06625000
2022-10-20 00:00:00+00:00,83.3,A,06625000
2022-10-21 00:00:00+00:00,82.1,A,06625000
2022-10-22 00:00:00+00:00,82.8,A,06625000
2022-10-23 00:00:00+00:00,86.0,A,06625000
2022-10-24 00:00:00+00:00,87.7,A,06625000
2022-10-25 00:00:00+00:00,79.9,A,06625000
2022-10-26 00:00:00+00:00,85.2,A,06625000
2022-10-27 00:00:00+00:00,90.5,A,06625000
2022-10-28 00:00:00+00:00,77.5,A,06625000
2022-10-29 00:00:00+00:00,79.4,A,06625000
2022-10-30 00:00:00+00:00,96.1,A,06625000
2022-10-31 00:00:00+00:00,84.6,A,06625000
2022-11-01 00:00:00+00:00,86.9,A,06625000
2022-11-02 00:00:00+00:00,88.8,A,06625000
2022-11-03 00:00:00+00:00,92.2,A,06625000
2022-11-04 00:00:00+00:00,83.1,A,06625000
2022-11-05 00:00:00+00:00,88.0,A,06625000
2022-11-06 00:00:00+00:00,90.8,A,06625000
2022-11-07 00:00:00+00:00,92.9,A,06625000
2022-11-08 00:00:00+00:00,94.5,A,06625000
2022-11-09 00:00:00+00:00,90.4,A,06625000
2022-11-10 00:00:00+00:00,90.3,A,06625000
2022-11-11 00:00:00+00:00,69.6,"A, e",06625000
2022-11-12 00:00:00+00:00,68.3,"A, e",06625000
2022-11-13 00:00:00+00:00,67.9,"A, e",06625000
2022-11-14 00:00:00+00:00,67.5,"A, e",06625000
2022-11-15 00:00:00+00:00,70.5,"A, e",06625000
2022-11-16 00:00:00+00:00,70.5,"A, e",06625000
2022-11-17 00:00:00+00:00,74.0,"A, e",06625000
2022-11-18 00:00:00+00:00,87.4,"A, e",06625000
2022-11-19 00:00:00+00:00,110.0,"A, e",06625000
2022-11-20 00:00:00+00:00,105.0,"A, e",06625000
2022-11-21 00:00:00+00:00,108.0,"A, e",06625000
2022-11-22 00:00:00+00:00,106.0,"A, e",06625000
2022-11-23 00:00:00+00:00,103.0,"A, e",06625000
2022-11-24 00:00:00+00:00,93.4,"A, e",06625000
2022-11-25 00:00:00+00:00,102.0,"A, e",06625000
2022-11-26 00:00:00+00:00,94.7,"A, e",06625000
2022-11-27 00:00:00+00:00,94.4,"A, e",06625000
2022-11-28 00:00:00+00:00,88.1,"A, e",06625000
2022-11-29 00:00:00+00:00,80.3,"A, e",06625000
2022-11-30 00:00:00+00:00,87.4,"A, e",06625000
2022-12-01 00:00:00+00:00,89.5,"A, e",06625000
2022-12-02 00:00:00+00:00,74.0,"A, e",06625000
2022-12-03 00:00:00+00:00,89.6,"A, e",06625000
2022-12-04 00:00:00+00:00,73.6,"A, e",06625000
2022-12-05 00:00:00+00:00,54.0,"A, e",06625000
2022-12-06 00:00:00+00:00,45.6,"A, e",06625000
2022-12-07 00:00:00+00:00,56.8,"A, e",06625000
2022-12-08 00:00:00+00:00,52.4,"A, e",06625000
2022-12-09 00:00:00+00:00,72.6,"A, e",06625000
2022-12-10 00:00:00+00:00,70.8,"A, e",06625000
2022-12-11 00:00:00+00:00,67.9,"A, e",06625000
2022-12-12 00:00:00+00:00,55.1,"A, e",06625000
2022-12-13 00:00:00+00:00,47.1,"A, e",06625000
2022-12-14 00:00:00+00:00,63.2,"A, e",06625000
2022-12-15 00:00:00+00:00,77.0,"A, e",06625000
2022-12-16 00:00:00+00:00,89.7,"A, e",06625000
2022-12-17 00:00:00+00:00,94.9,"A, e",06625000
2022-12-18 00:00:00+00:00,103.0,"A, e",06625000
2022-12-19 00:00:00+00:00,110.0,"A, e",06625000
2022-12-20 00:00:00+00:00,119.0,"A, e",06625000
2022-12-21 00:00:00+00:00,88.6,"A, e",06625000
2022-12-22 00:00:00+00:00,134.0,"A, e",06625000
2022-12-23 00:00:00+00:00,136.0,"A, e",06625000
2022-12-24 00:00:00+00:00,102.0,"A, e",06625000
2022-12-25 00:00:00+00:00,93.8,"A, e",06625000
2022-12-26 00:00:00+00:00,79.4,"A, e",06625000
2022-12-27 00:00:00+00:00,71.2,"A, e",06625000
2022-12-28 00:00:00+00:00,71.0,"A, e",06625000
2022-12-29 00:00:00+00:00,71.3,"A, e",06625000
2022-12-30 00:00:00+00:00,81.8,"A, e",06625000
2022-12-31 00:00:00+00:00,79.6,"A, e",06625000
2023-01-01 00:00:00+00:00,83.9,"A, e",06625000
2023-01-02 00:00:00+00:00,84.6,"A, e",06625000
2023-01-03 00:00:00+00:00,79.9,"A, e",06625000
2023-01-04 00:00:00+00:00,80.1,"A, e",06625000
2023-01-05 00:00:00+00:00,102.0,"A, e",06625000
2023-01-06 00:00:00+00:00,114.0,"A, e",06625000
2023-01-07 00:00:00+00:00,89.3,"A, e",06625000
2023-01-08 00:00:00+00:00,104.0,"A, e",06625000
2023-01-09 00:00:00+00:00,101.0,"A, e",06625000
2023-01-10 00:00:00+00:00,111.0,"A, e",06625000
2023-01-11 00:00:00+00:00,80.7,"A, e",06625000
2023-01-12 00:00:00+00:00,72.2,"A, e",06625000
2023-01-13 00:00:00+00:00,74.3,"A, e",06625000
2023-01-14 00:00:00+00:00,58.1,"A, e",06625000
2023-01-15 00:00:00+00:00,50.2,"A, e",06625000
2023-01-16 00:00:00+00:00,52.0,"A, e",06625000
2023-01-17 00:00:00+00:00,47.2,"A, e",06625000
2023-01-18 00:00:00+00:00,44.3,"A, e",06625000
2023-01-19 00:00:00+00:00,61.0,"A, e",06625000
2023-01-20 00:00:00+00:00,82.4,"A, e",06625000
2023-01-21 00:00:00+00:00,66.5,"A, e",06625000
2023-01-22 00:00:00+00:00,66.5,"A, e",06625000
2023-01-23 00:00:00+00:00,90.6,"A, e",06625000
2023-01-24 00:00:00+00:00,110.0,"A, e",06625000
2023-01-25 00:00:00+00:00,109.0,"A, e",06625000
2023-01-26 00:00:00+00:00,103.0,"A, e",06625000
2023-01-27 00:00:00+00:00,107.0,"A, e",06625000
2023-01-28 00:00:00+00:00,108.0,"A, e",06625000
2023-01-29 00:00:00+00:00,113.0,"A, e",06625000
2023-01-30 00:00:00+00:00,112.0,"A, e",06625000
2023-01-31 00:00:00+00:00,113.0,"A, e",06625000
2023-02-01 00:00:00+00:00,111.0,"A, e",06625000
2023-02-02 00:00:00+00:00,113.0,"A, e",06625000
2023-02-03 00:00:00+00:00,123.0,"A, e",06625000
2023-02-04 00:00:00+00:00,111.0,"A, e",06625000
2023-02-05 00:00:00+00:00,101.0,"A, e",06625000
2023-02-06 00:00:00+00:00,94.4,"A, e",06625000
2023-02-07 00:00:00+00:00,105.0,"A, e",06625000
2023-02-08 00:00:00+00:00,116.0,"A, e",06625000
2023-02-09 00:00:00+00:00,97.7,"A, e",06625000
2023-02-10 00:00:00+00:00,128.0,"A, e",06625000
2023-02-11 00:00:00+00:00,125.0,"A, e",06625000
2023-02-12 00:00:00+00:00,121.0,"A, e",06625000
2023-02-13 00:00:00+00:00,125.0,"A, e",06625000
2023-02-14 00:00:00+00:00,117.0,"A, e",06625000
2023-02-15 00:00:00+00:00,121.0,"A, e",06625000
2023-02-16 00:00:00+00:00,125.0,"A, e",06625000
2023-02-17 00:00:00+00:00,140.0,"A, e",06625000
2023-02-18 00:00:00+00:00,133.0,"A, e",06625000
2023-02-19 00:00:00+00:00,131.0,"A, e",06625000
2023-02-20 00:00:00+00:00,124.0,"A, e",06625000
2023-02-21 00:00:00+00:00,121.0,"A, e",06625000
2023-02-22 00:00:00+00:00,108.0,"A, e",06625000
2023-02-23 00:00:00+00:00,125.0,"A, e",06625000
2023-02-24 00:00:00+00:00,128.0,"A, e",06625000
2023-02-25 00:00:00+00:00,118.0,"A, e",06625000
2023-02-26 00:00:00+00:00,121.0,"A, e",06625000
2023-02-27 00:00:00+00:00,118.0,"A, e",06625000
2023-02-28 00:00:00+00:00,124.0,"A, e",06625000
2023-03-01 00:00:00+00:00,117.0,"A, e",06625000
2023-03-02 00:00:00+00:00,129.0,"A, e",06625000
2023-03-03 00:00:00+00:00,131.0,"A, e",06625000
2023-03-04 00:00:00+00:00,107.0,"A, e",06625000
2023-03-05 00:00:00+00:00,117.0,"A, e",06625000
2023-03-06 00:00:00+00:00,119.0,"A, e",06625000
2023-03-07 00:00:00+00:00,118.0,"A, e",06625000
2023-03-08 00:00:00+00:00,104.0,"A, e",06625000
2023-03-09 00:00:00+00:00,96.0,"A, e",06625000
2023-03-10 00:00:00+00:00,102.0,"A, e",06625000
2023-03-11 00:00:00+00:00,81.3,"A, e",06625000
2023-03-12 00:00:00+00:00,71.4,"A, e",06625000
2023-03-13 00:00:00+00:00,98.9,"A, e",06625000
2023-03-14 00:00:00+00:00,97.3,A,06625000
2023-03-15 00:00:00+00:00,108.0,A,06625000
2023-03-16 00:00:00+00:00,107.0,A,06625000
2023-03-17 00:00:00+00:00,98.0,A,06625000
2023-03-18 00:00:00+00:00,90.4,A,06625000
2023-03-19 00:00:00+00:00,107.0,"A, e",06625000
2023-03-20 00:00:00+00:00,103.0,A,06625000
2023-03-21 00:00:00+00:00,98.7,A,06625000
2023-03-22 00:00:00+00:00,97.9,A,06625000
2023-03-23 00:00:00+00:00,97.6,A,06625000
2023-03-24 00:00:00+00:00,95.7,A,06625000
2023-03-25 00:00:00+00:00,94.8,A,06625000
2023-03-26 00:00:00+00:00,91.4,A,06625000
2023-03-27 00:00:00+00:00,92.1,A,06625000
2023-03-28 00:00:00+00:00,106.0,A,06625000
2023-03-29 00:00:00+00:00,98.8,A,06625000
2023-03-30 00:00:00+00:00,98.4,A,06625000
2023-03-31 00:00:00+00:00,96.1,A,06625000
2023-04-01 00:00:00+00:00,97.6,A,06625000
2023-04-02 00:00:00+00:00,107.0,A,06625000
2023-04-03 00:00:00+00:00,113.0,A,06625000
2023-04-04 00:00:00+00:00,106.0,"A, e",06625000
2023-04-05 00:00:00+00:00,94.0,A,06625000
2023-04-06 00:00:00+00:00,93.0,A,06625000
2023-04-07 00:00:00+00:00,93.9,A,06625000
2023-04-08 00:00:00+00:00,109.0,A,06625000
2023-04-09 00:00:00+00:00,129.0,A,06625000
2023-04-10 00:00:00+00:00,163.0,A,06625000
2023-04-11 00:00:00+00:00,205.0,A,06625000
2023-04-12 00:00:00+00:00,228.0,A,06625000
2023-04-13 00:00:00+00:00,248.0,A,06625000
2023-04-14 00:00:00+00:00,246.0,A,06625000
2023-04-15 00:00:00+00:00,236.0,A,06625000
2023-04-16 00:00:00+00:00,239.0,A,06625000
2023-04-17 00:00:00+00:00,236.0,A,06625000
2023-04-18 00:00:00+00:00,250.0,A,06625000
2023-04-19 00:00:00+00:00,235.0,A,06625000
2023-04-20 00:00:00+00:00,220.0,A,06625000
2023-04-21 00:00:00+00:00,206.0,A,06625000
2023-04-22 00:00:00+00:00,193.0,A,06625000
2023-04-23 00:00:00+00:00,179.0,A,06625000
2023-04-24 00:00:00+00:00,177.0,A,06625000
2023-04-25 00:00:00+00:00,193.0,A,06625000
2023-04-26 00:00:00+00:00,188.0,A,06625000
2023-04-27 00:00:00+00:00,217.0,A,06625000
2023-04-28 00:00:00+00:00,239.0,A,06625000
2023-04-29 00:00:00+00:00,238.0,A,06625000
2023-04-30 00:00:00+00:00,295.0,A,06625000
2023-05-01 00:00:00+00:00,407.0,A,06625000
2023-05-02 00:00:00+00:00,574.0,A,06625000
2023-05-03 00:00:00+00:00,772.0,A,06625000
2023-05-04 00:00:00+00:00,942.0,A,06625000
2023-05-05 00:00:00+00:00,970.0,A,06625000
2023-05-06 00:00:00+00:00,968.0,A,06625000
2023-05-07 00:00:00+00:00,903.0,A,06625000
2023-05-08 00:00:00+00:00,910.0,A,06625000
2023-05-09 00:00:00+00:00,1010.0,A,06625000
2023-05-10 00:00:00+00:00,1190.0,A,06625000
2023-05-11 00:00:00+00:00,1300.0,A,06625000
