datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd,00095_Mean,00095_Mean_cd
2022-10-01 00:00:00+00:00,12.7,A,09119000,89.7,A,267.0,A
2022-10-02 00:00:00+00:00,11.1,A,09119000,106.0,A,263.0,A
2022-10-03 00:00:00+00:00,11.0,A,09119000,118.0,A,256.0,A
2022-10-04 00:00:00+00:00,11.6,A,09119000,115.0,A,251.0,A
2022-10-05 00:00:00+00:00,11.7,A,09119000,106.0,A,254.0,A
2022-10-06 00:00:00+00:00,11.8,A,09119000,105.0,A,261.0,A
2022-10-07 00:00:00+00:00,11.6,A,09119000,96.5,A,262.0,A
2022-10-08 00:00:00+00:00,11.1,A,09119000,89.7,A,261.0,A
2022-10-09 00:00:00+00:00,10.8,A,09119000,90.2,A,261.0,A
2022-10-10 00:00:00+00:00,10.2,A,09119000,91.6,A,262.0,A
2022-10-11 00:00:00+00:00,9.4,A,09119000,90.4,A,262.0,A
2022-10-12 00:00:00+00:00,9.2,A,09119000,92.7,A,265.0,A
2022-10-13 00:00:00+00:00,9.1,A,09119000,93.7,A,266.0,A
2022-10-14 00:00:00+00:00,8.8,A,09119000,90.3,A,265.0,A
2022-10-15 00:00:00+00:00,8.3,A,09119000,80.6,A,258.0,A
2022-10-16 00:00:00+00:00,8.4,A,09119000,78.3,A,258.0,A
2022-10-17 00:00:00+00:00,8.4,A,09119000,81.2,A,259.0,A
2022-10-18 00:00:00+00:00,8.8,A,09119000,88.9,A,267.0,A
2022-10-19 00:00:00+00:00,8.1,A,09119000,83.9,A,267.0,A
2022-10-20 00:00:00+00:00,7.6,A,09119000,81.8,A,261.0,A
2022-10-21 00:00:00+00:00,7.2,A,09119000,87.2,A,267.0,A
2022-10-22 00:00:00+00:00,7.1,A,09119000,88.7,A,267.0,A
2022-10-23 00:00:00+00:00,6.5,A,09119000,96.1,A,267.0,A
2022-10-24 00:00:00+00:00,4.0,A,09119000,93.8,A,261.0,A
2022-10-25 00:00:00+00:00,3.6,A,09119000,86.9,A,264.0,A
2022-10-26 00:00:00+00:00,5.1,A,09119000,93.7,A,270.0,A
